ID;CH01A;CH01B;CH02A;CH02B;CH03A;CH03B;CH04A;CH04B;CH05A;CH05B;CH06A;CH06B;CH07A;CH07B;CH08A;CH08B;CH09A;CH09B;CH10A;CH10B;CH11A;CH11B;CH12A;CH12B;CH13A;CH13B;CH14A;CH14B;CH15A;CH15B;CH16A;CH16B;CH17A;CH17B;CH18A;CH18B
Acer sp.;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Achillea millefolium aggr.;;2;0.2;;;;;;;1;;;;;;;;;;;;;;1.5;;;;2;;;;;;;9;1.5
Agrostis capillaris;;;;;;;;;;;10;;;;;2;4;2;;;;2;0.01;;3;;1;5;0.2;;17;25;;;;
Ajuga reptans;;;0.05;0.01;;;1;;;;;10;0.2;;0.05;;;;3;0.1;;0.5;0.01;0.2;0.1;;;;;;;;;;;
Alchemilla sp.;;;;;;;;;;;;;;;0.01;4;;;;;;;;;;;;;;;;;;;;
Alopecurus pratensis;;;;;;;;;;;;;;;25;;;;32;1.5;;;;;;20;;;;;;;;;;
Anemone nemorosa;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthoxanthum odoratum;0.2;15;35;1;;;60;15;;;20;40;0.5;;45;50;0.05;;2;80;25;70;;;60;30;;;45;20;;;20;60;;8
Anthriscus sylvestris;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Arrhenatherum elatius;;;0.2;;;;4;20;0.5;;;;;;;8;;;26;;8;;;;;;;;;;;;;;;
Bellis perennis;0.5;0.01;;;0.01;;;;0.05;1;;1;;4;;;;;;;;;2;6;;;12.5;5;;;0.1;0.7;;;4;8
Bromus hordeaceus;;;;;;;;30;;;;;;;;;;;;;15;;;;27;7;;;5;25;;;70;2;;
c.f. Brassica sp.;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
c.f. Cerastium sp.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardamine hirsuta;;3;;;;1;;;0.5;2;;;;1;0.01;;;;;;;;;;;;;;1;;;;;;2;0.1
Cardamine pratensis;;;0.6;0.5;;;;1;;;;;;;;;;0.05;;;0.01;1;;;0.01;;;;;1;;;;;;
Carex sp.;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;
Cerastium fontanum subsp. vulgare;;;;;;;;;0.1;;;;0.1;;;1;0.001;;0.001;;;0.1;;;0.1;0.01;1;;0.2;0.1;0.01;;0.000001;0.1;;1
Cerastium glomeratum;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Crepis biennis;;;12;10;;;9;;;;10;20;;;7;15;0.2;;1.5;0.3;10;0.01;;;3;;;;;;;;;8;1;1
Dactylis glomerata;;;;7;1;;;7;;;;;;;;3;;;6;;1;;;;12;;20;;;8;1;0.01;;1;;
Daucus carota;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Epilobium sp.;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
Equisetum arvense;;;;;;;;;;;;;;;;;0.001;;;;;;;;;;;;;;;;;;;
Erigeron annuus;;;;;;;;;;;;;;1;;;;;;;;;;;;;0;0.1;;;;;;;;
Fagus sylvatica;;;0.001;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Festuca arundinacea;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;
Festuca pratensis;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;
Festuca rubra;;;;8;;;;;45;15;10;;;;;10;90;60;0.001;2;;;;15;2;2;50;;;;5;25;;;3;60
Fragaria viridis;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;
Galium mollugo aggr.;;;;;;;;;;;0.01;;;;;;;;;;0.1;;;;12;4;;;;;;;;;;
Geranium pratense;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;;;;;;;;
Geranium pusillum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Geum urbanum;;;;0.1;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;
Glechoma hederacea;;;0.5;2;;;1;;;9;;;1;;5;25;0.05;0.1;;2;;;0.11;12;;;;;2;1;;;4;;2;1
Holcus lanatus;;;2;20;0.01;;1;;0.5;;25;50;1;1;;5;1;7;19;20;20;10;;;10;15;;;30;30;;;;20;;1
Hypochaeris radicata;;;;;;;;;;;;;;;;;0.1;3.5;;;;;;;;;5;;;;;;;;;
Lamium purpureum;;0.1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lathyrus vernus;;;;;;;;;;;0.001;;;;;;;;;;;;;;;;;;;;;;;;;
Lolium multiflorum;0.01;;;;;;;;;;;;80;15;;;;;;;;;;;10;5;;;4;;;;0.1;;;
Lolium perenne;78;40;25;15;70;75;;;50;30;25;20;;;10;;0.001;6;;;;2;15;55;3;4;1;30;;;17;50;;;30;8
Lotus corniculatus;;;;;;;;;;;;;;;1;1;;;0.7;;;;;;;;15;;;;0.1;;;;;
Luzula campestris;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;
Lysimachia nummularia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.001;;;;;
Medicago lupulina;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;;;;;;;;
Phleum pratense;;2;;;;;;15;25;30;;;;;;;0.001;3;;;;;0.1;2.5;;;;3;;;0.5;;;;;
Plantago lanceolata;;;4;5;;;5;4;;;10;4;4;1;2;7;1;;4.7;5.5;5;8;0.1;2.5;6;5;2;;2;12;1.5;0.8;5;15;6;8
Plantago major;0.5;;;;1;;;;10;;;;;3;;;;;;;;;;0.1;;;1.5;0.5;;;0.2;0.8;;;11;
Poa annua;0.3;5;;;;10;;;;;;;6;80;;;0.0001;;;;;;0.1;5;;;;;;;;;;;;
Poa pratensis;;;1;;;;;;10;30;;;;;;;;;;;;;45;40;;2;20;10;;3;30;20;;;50;
Poa trivialis;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;
Potentilla reptans;;;;;;;;;;;;;;;;;;;;;;;0.01;0.1;;;5;0.1;0.5;;0.01;0.03;;;;
Prunella vulgaris;;;;;;;;;;;;;;;;;1;2;0.06;;0.01;;0.1;0.5;;;5;3.5;;;0.2;;;;5;25
Ranunculus acris;;;3;;;1;0.5;3;0.01;;10;;;;0.5;2;;;0.01;;4;2;;;12;10;;;1;2;0.1;;0.05;1;3;
Ranunculus ficaria;;0.01;0.1;0.1;;;0.5;4;;1;0.05;3;0.1;;0.001;;3;0.5;0.02;;3;8;0.01;0.5;1;3;1;;;;;;;;;
Ranunculus repens;;0.01;0.3;0.1;0.05;;0.5;;;;;;;;0.01;;0.05;6;;;1;;;0.5;;;5;0.5;2;8;0.3;0.0001;0.05;;2;1
Rhinanthus alectorolophus;;;0.001;0.01;;;;;;;;;;;;;;;;;;;;;5;;;;0.1;;;;3;9;;
Rumex acetosa;;;0.001;2;0.1;;;;;;;;;;;;;;;;;1;;;2;0.5;;;0.1;4;;;1;4;;
Rumex acetosella;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;
Rumex obtusifolius;;;;;;;0.1;;;;;;;;;;;;;;0.1;;0.01;;;;0.5;;;;0.01;1;0.0001;0.01;1;
Salix sp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.000001;;;
Sanguisorba minor;;;;;;;;;;;0.05;1;;;;;0.001;;;;;;;;;;;;;;;;;;;
Senecio vulgaris;;;;;;;;;0.001;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Sonchus oleraceus;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;
Stellaria media;;;;;;;;;1;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;
Taraxacum officinale aggr.;;1;0.5;5;1;1;2;6;0.05;;5;;9;;5;5;0.6;2;4;0.2;10;1.5;;0.5;3;1;1;;19;5;0.3;0.8;3;15;1;2
Trifolium dubium;;;;;;;;;;;;;;;;;;;;;;;2;0.05;;;10;;;;1;;;;;
Trifolium pratense;;;;1;;;;;;;;2;;10;;5;0.002;;;;2;0.02;;;8;1;;;3;3;;;1;;;
Trifolium repens;20;18;0.5;2;25;10;5;;35;20;7;;;2;;;;0.01;0.008;;;0.02;35;5;;2;10;25;1;6;10;30;1.5;3;;
Trifolium sp.;;;;;;;;;;;;;1;;5;;;;;;;;;;;;;;;;;;;;;
Veronica arvensis;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;0.1;;;;;;
Veronica cf. chamaedrys;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;
Veronica chamaedrys;;;0.4;6;;;10;;;;3;;;;;1;0.01;5;;;;;;;;;;0.2;;;;;;;;
Veronica filiformis;;1;0.1;1;;;1;;0.1;;3;;;;;;0.002;2.5;;;0.5;0.001;;;1.5;0.5;;;1;6;;;6;4;;
Veronica officinalis;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;
Veronica persica;;;;;;;;5;;;3;;;;;1;;;;;;;;;;;;0.3;;1.5;;;;;4;0.1
Veronica serpyllifolia;0.1;;;;;;;;0.5;;;;0.01;;;;;;;;;0.01;0.001;0.25;;;10;;;0.1;2;0.0001;;;;0.1
Veronica sp.;;;;;;1;;;;;;;;;;;;;;;;;;0.2;;;;0.2;;;;;;;;
Vicia cracca;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;
Vicia sepium;;;0.1;0.1;;;0.1;2;;;;;;;2;1;0.01;0.01;;;0.1;4;;;4;0.01;;;;;;;0.003;;;
